site	tier	ground_truth	oof	kraken	vote
page-038-R:_7d9da549-ead8-480f-8e72-2fa01e948c78	both	ἀκολȣθήσεις ε13. 22a14. ἡ τῶν ἐπομένων ἀκολȣθησις τι28.	ἀκολȣθήσεις ε13. 22a14. ἡ τῶν ἑπομένων ἀκολȣθησις τι28.	ἀκολȣθήσεις ε13. 22a14. ἡ τῶν ἑπομένων ἀκολȣθησις τι28.	
page-038-R:_d6f768dc-099b-4a3c-abba-837bf35cff1e	both	ἀκȣειν. ἅμα ἀκȣει ϗ̀ ἀκήκοε αι6. 446b2 (cf αἰσθάνεσθαι a).	ἀκȣειν. ἅμα ἀκȣ́ει ϗ̀ ἀκήκοε αι6. 446b2 (cf αἰσθάνεσθαι α).	ἀκȣειν. ἅμα ἀκȣει ϗ̀ ἀκήκοε αι6. 446b2 (cf αἰσθάνεσθαι α).	
page-038-R:_83a75149-4fd8-49bb-9c20-c8ab0104928c	both	904b11. 44. 904a16. τῶν ζῴων τίνα ȣ̓κ ἀκȣει, cf ἀκοή.	904b11. 44. 904a16. τῶν ζῴων τίνα ȣ̓κ ἀκȣει, cf ἀκοό	904b11. 44. 904a16. τῶν ζῴων τίνα ȣ̓κ ἀκȣ́ει cf ἀκοή.	
page-039-L:_a77e343f-aed4-4ebe-83a4-c6b98b9742b9	both	ἀκȣ́ων Αγ24. 85b22. — ἀκȣ́ειν i q λέγεσθαι. Ἀγαμέμνων	ἀκȣ́ων Αγ24. 85b22. — ἀκȣειν i q λέγεσθαι. Ἀγαμέμνων	ἀκȣων Αγ24. 85b22. — ἀκȣειν i q λέγεσθαι. Ἀγαμέμνων	
page-039-L:_beccbe55-f7fd-446a-8f42-c2dc3c8093bd	both	1109b35. τὰ βίᾳ ϗ̀ ἀπάτῃ ἀκȣσια Ρα15. 1377b5. ἀκȣ́-	1109b35. τὰ βίᾳ ϗ̀ ἀπάτη ἀκȣ́σια Ρc15. 1377b5. ἀκȣ́-	1109b35. τὰ βίᾳ ϗ̀ ἀπάτῃ ἀκȣσια Ρα15. 1377b5. ἀκȣ-	
page-039-L:_5024e1d1-2f49-49fe-8381-d3fd3583278b	both	ἀκȣ́σματα ϗ̀ ὁράματα ἀνελευθερίας Πη17. 1336b2.	ἀκȣσματα ϗ̀ ὁράματα ἀνελευθερίας Πη17. 1336b2. 	ἀκȣσματα ϗ̀ ὁράματα ἀνελευθερίας Πη17. 1336b2.	
page-039-L:_b4d17eb1-74f7-40c2-8f08-99cac0b3fb04	both	Ἀκραγαντῖνος Ἐμπεδοκλῆς Οα10. 279b16. Ἀκραγαντίνων	Ακραγαντ:νος Ἐμπεδοκλῆς Οα10. 279b16. Ακραγαντίνων	κραγαντῖνος μπεδοκλῆς Οα10. 279b16. Ἀκραγαντίνων	
page-039-L:_45e65b53-3f4f-4a46-aa1f-23610c1c7ae7	both	ἀκράτεια def αρ1. 1250a1. 3. 1250a22 (cf ἀκρασία 6. 1251	ἀκράτεια daf ἕρ1. 1250a1. 3. 1250a22 (cf ἀκρασία6. 1251	ἀκράτεια def αρ1. 1250a1. 3. 1259a22 (cf ἀκρασία 6. 1251	
page-039-R:_653e96cb-3e0a-4b86-94c0-9124adf22a68	both	949b13, 14. ἀκρατὴς πρὸς τὸν οἶνον sim; περὶ τὰ πόματα	949b13, 14. ἀκρατὴς πρὸς τὸν οἶνον sim, περὶ τὰ πόματα	949b13, 14. ἀκρατὴς πρὸς τὸν οἶνον sim, περὶ τὰ πόματα	
page-039-R:_f6075459-4cad-40d5-8152-b65a40f767ad	both	ρωθεν ἀκρίβεια τῶν αἰσθήσεων, ἡ περὶ τὰς διαφορὰς ἀκρι-	ρωθεν ἀκρίβεια τῶν αἰσθήσεων, ἡ περὶ τὰς διαφορὰς ἀκρί-	ρωθεν ἀκρίβεια τῶν αἰσθήσεων, ἡ περὶ τὰς διαφορὰς ἀκρί-	
page-039-R:_300d83e8-c949-4173-a313-dd7eaf3504e1	both	αν16. 478b1. εἰς ἀκρίβειαν Πη11. 1331a2. τῇ ἀκριβεία	αν16. 478b1. εἰς ἀκρίβειαν Πη11. 1331a2. τῇ ἀκριβείᾳα	αν16. 478b1. εἰς ἀκρίβειαν Πη11. 1331a2. τῇ ἀκριβείᾳ	
page-039-R:_4e845d7b-3d8e-4c0a-babe-c4f118c8fea2	both	σεως, ἐνταῦθα ἥκιστα ἀκρίβεια ἔνι Ργ12. 1414a16. —	xaας, ἐνταῆθȣ ἤατ ἵρ6 5 Ρ71a. 111a16. —	Vcωνν ἐνταθθα ἥκιτα ἀκρίθεια ἐνι P012.. 1414116. —	
page-040-L:_252c9bc6-728f-4543-8c68-d0c1ce27e5b3	both	στῆμαι Ογ7. 306a27. Ηζ7. 1141a16. Ρα1. 1355a24. αἱ ἀκρι-	στῆμαιΟγ7. 306a27. Ηζ7. 1141a16. Ρα1.1355a24. αἱ ἀκρι-	στῆμαι Ογ7. 306a27. Ηζ7. 1141a16. Ρα1.1355a24. αὶ ἀκρι-	
page-040-L:_9ffa025c-a188-4f37-b780-64fc51acb63a	both	ἀπόδειξις ἢ μᾶλλον ἐξ ἀρχῆς Αγ24. 86a17. ἀκριβεστέρα ἐπι-	ἀπόδειξις ἡ μᾶλλον ἐξ ἀρχῆς Αγ24. 86a17. ἀκριβεστέρα ἐπι-	ἀπόδειξις ἡ μᾶλλον ἐξ ἀρχῆς Αγ24. 86a17. ἀκριβεστέρα ἐπι-	
page-040-L:_b97ad02c-fb48-4de9-972c-16919830c482	both	ἐν τῇ δημηγορικῇ τὰ ἀκριβῆ περίεργα, ἡ δὲ δικανικὴ ἀκρι-	εν τῇ δημηγορικῇ τὰ ἀκριβῆ περίεργα, ἡ δὲ δικανικὴ ἀκρι-	εν τῇ δημηγορικῇ τὰ ἀκριβῆ περίεργα, ἢ δὲ δικανικὴ ἀκρι-	
page-040-R:_170d8916-708d-4358-a4f7-8a9c45b85fe3	both	ἀκριβȣ͂ν, syn πταίειν, σφάλλεσθαι τῇ γλώττῃ πγ31. 875	ἀκριβȣ͂ν, syn πταίειν, σφάλλεσθαι τῇ γλώττη πγ31. 875	ἀκριβȣ͂ν, syn πταίειν, σφάλλεσθαι τῇ γλώττη πγ31. 875	
page-040-R:_3ff0b1a6-f471-46fa-a71e-63722c00f236	both	531b20, 532b10. ε19. 550b22, 32. Ζμδ6. 683a33. Ζγα	531b20, 532b10. ε19. 550b22, 32. Ζμδ 6. 683a33. Ζγα	531b20, 532b10. ε19. 550b22, 32. Ζμδ 6. 683a33. Ζγα	
page-040-R:_d4152489-1ef9-4334-9c48-f9b40b19a1ef	both	ϗ̀ τὰ τοιαῦτα b20). ἔσμα ὁ αὐχὴν τȣ͂ καρπȣ͂ τῶν ἀκρο-	ϗ̀ τὰ τοιαῦτα b20). ἕσμα ὁ αὐχὴν τȣ καρπȣ͂ τῶν ἀκρο-	ϗ̀ τὰ τοιαῦτα b20). ἔσμα ὁ αὐχὴν τȣ͂ καρπȣ τῶν ἀκρο-	
page-041-R:_804a6120-d002-4f32-86a3-24016bdd3906	both	extremae, ἡ κύλιξ κολοβός, ἂν τρυπηθῇ τὸ ȣ̓͂ς ἢ ἀκρωτή-	extremae, ἡ κύλιξ κολοβός, ἂν τρυπηθῇ τὸ ȣ̔͂ς ἢ ἀκρώτη-	extremae, ἡ κύλιξ κολοβός, ἂν τρυπηθῇ τὸ ȣ̓͂ς ἢ ἀκρώτη-	
page-042-L:_fb74eeeb-c3e0-4f29-b772-66435422e01f	both	ποιεῖν τȣς φαύλȣς νόμȣς ἀκύρȣς ρ37. 1443b28. ἄκυρον τὸ	ποιεῖν τȣ̀ς φαύλȣς νόμȣς ἀκȣ́ρȣς ρ37. 1443b28. ἄκυρον τὸ	ποιεῖν τȣ̀ς φαύλȣς νόμȣς ἀκȣρȣς ρ37. 1443b28. ἄκυρον τὸ	
page-042-L:_27b1bd07-9b7a-4937-a0cf-f6833a8f1d1c	both	αἱ τῶν ἀκυροτέρων περίοδοι ἀκολȣθȣ͂σι ταῖς τῶν κυριωτέρων	αἱ τῶν ἀκυρότερων περίοδοι ἀκολȣθȣ͂σι ταῖς τῶν κυριωτέρων	αἱ τῶν ἀκυρότερων περίοδοι ἀκολȣθȣ͂σι ταῖς τῶν κυριωτέρων	
page-042-L:_ee64ad1b-340f-463e-88ed-04cf3f2b5f3a	both	ἀλγήματα περὶ τὸν νῶτον, περὶ τȣς ὄρχεις Ζιγ3. 512b18,25.	ἀλγήματα περὶ τὸν νῶτον, περὶ τȣ̀ς ὄρχεις Ζιγ3. 512b18, 25.	ἀλγήματα περὶ τὸν νῶτον, περὶ τȣ̀ς ὄρχεις Ζιγ3. 512b18, 25.	
page-043-L:_e8f00d47-037b-45ca-84d2-1781a8c886b9	both	Ἀλεξαμενὸς ὁ Στυρεὺς ἢ Τήϊος πρῶτος ἔγραψε διαλόγȣς	Ἀλεξαμενὸς ὁ Στυρεὺς ἢ Τῆος πρῶτος ἔγραψε διαλόγȣς	Ἀλεξαμενὸς ὁ Στυρεὺς ἢ Τήῖος πρῶτος ἔγραψε διαλόγȣς	
page-043-L:_141ff029-c113-40b5-a08e-738a92b83881	both	Ἄλεξις ϗ̀ Ἐπειός, Ἠλείȣ υἱοί f 595. 1575a16.	Ἀλεξις ϗ̀ Ἑπειός, Hλείȣ υἱοί f 595. 1575a16.	Ἄλεξις ϗ̀ Ἐπειός, Ἡλείȣ υἱοί f 595. 1575a16.	
page-043-L:_db154a1d-fe30-4aad-a4a3-b17c93a1e295	both	ἄλευρον. ἄλευρα καταπάσαντες Ζιι40. 627b19. τῶν ἐφθῶν	ἄλευρον. ἄλευρα καταπάσαντες Ζι40. 627b19. τῶν ἑφθῶν	ἄλευρον. ἄλευρα καταπάσαντες Ζιι40. 627b19. τῶν ἑφθῶν	
page-043-L:_d72f331f-b121-4309-a9e9-0995a8551c56	both	τὸ ὄν et τὴν ȣ̓σίαν, modo ad cognitionem et scientiam vergit.	τὸ ἂὂν et τὴν ȣ̓σίαν, modo ad cognitionem et scientiam vergit.	τὸ ὂν et τὴν ȣ̓σίαν, modo ad cognitionem et scientiam vergit.	
page-043-L:_3fa3411f-4bfa-4057-84d5-ec908ee1224c	both	φεῖν, ἀποφήνασθαι περὶ τῆς ἀληθείας, ἢ περὶ τῆς ἀληθείας	φεῖν, ἀποφήνασθαι περὶ τῆς ἀληθείας, ἡ περὶ τῆς ἀληθείας	φεῖν, ἀποφήνασθαι περὶ τῆς ἀληθείας, ἡ περὶ τῆς ἀληθείας	
page-043-R:_fa79dee3-44a3-4c02-b4f3-25a662466952	both	65a36. τα10. 104a32. θ3. 162b32. Γα 3. 318b28, 29.	65a36. τα10. 104a32. θ3. 162b32. Γα3. 318b28, 29.	65a36. τα10. 104a92. θ3. 162b32. Γα3. 318b28, 29.	
page-043-R:_2ba65299-94ef-45fb-9a53-feec553a3418	both	1431b4. δόξειεν ἂν ἔχειν ἀλήθειαν Πγ11. 1281a12. —	1431b4. δόξειεν ἂν ἔχειν ἀλήθειαν Πγ11. 1281a42. —	1431b4. δόξειεν ἂν ἔχειν ἀλήθειαν Πγ11. 1281a42. —	
page-043-R:_515555f6-3222-4519-a5cf-00a1255e759e	both	κατηγορίαι διῄρηνται Αα37. 49a6.	κατηγορίαι διήρηνται Αα37. 49a6.	κατηγορίαι διήρηνται Αα37. 49a6.	
page-044-L:_cb402cae-be76-4dbe-878a-9e915128fc54	both	ἄτοπον μβ3. 358a16. ἀληθὲς dist ἀληθὲς τȣ́τῳ Μγ6.	ἄτοπον μβ3. 358a16. ἀληθές, dist ἀληθὲς τȣ́τῳ Μγ6.	ἄτοπον μβ3. 358a16. ἀληθές, dist ἀληθὲς τȣτῳ Μγ6.	
page-044-L:_ab7a57ff-1258-4334-8509-1825bc070366	both	ρωνος ημα33. 1193a33. ἀποδεῖξαι αὐτὸν μὲν ἀληθῆ, τὸν δὲ	ρωνος ημα33. 1193a33. ἀποδεῖξαι αὑτὸν μὲν ἀληθῆ, τὸν δὲ	ρωνος ημα33. 1193a33. ἀποδεῖξαι αὑτὸν μὲν ἀληθῆ, τὸν δὲ	
page-044-L:_1548528e-a1ff-4370-a193-6a1dc3e91256	vote	ἀλῆτις, ᾆσμα ταῖς αἰώραις προσᾳδόμενον f 472. 1556a3, 6,	ἀλῆτις, ᾄσμα ταῖς αἰώραις προσᾳδόμενον f 472. 1556a3,	ἀλῆτις, ᾆσμα ταῖς αἰώραις προσᾳδόμενον f 472. 1556a3,	ἀλῆτις, ᾆσμα ταῖς αἰώραις προσᾳδόμενον f 472. 1556a3,
page-044-R:_bd2eb5ba-df03-43a8-8e09-72a1e8195dcf	both	munis ad Ζι 32. 34 Su 106 n 30 AΖι I 77 n 1d).	munis ad Ζι 32. 34 Su 106 n 30 AΖι I 77 n 1J).	munis ad Ζι 32. 34 Su 106 n 30 AZι I 77 n 1d).	
page-044-R:_aa6f179d-ea0d-4100-9aab-3d6e9c5f2f24	both	ἀλίζειν. ἄρτοι ἠλισμένοι, opp ἄναλοι πκα5. 927a36. ἀλίζο-	ἀλίζειν. ἄρτοι ἡλισμένοι, opp ἄναλοι πκα5. 927a36. ἁλιζο-	ἁλίζειν. ἄρτοι ἠλισμένοι, opp ἄναλοι πκα5. 927a36. ἀλιζο-	
page-044-R:_d4697317-cf40-44ab-863f-297c3c4ddce4	both	μὲν ȣ̓͂ν τοιȣ́των ἅλις Ηκ1. 1172b7. περὶ μὲν τȣ́των ἅλις	μὲν ȣ̓ν τοιȣ́των ἅλις Ηκ1. 1172b7. περὶ μὲν τȣ́των ἅλις	μὲν ȣ̓͂ν τοιȣ́των ἅλις Ηκ1. 1172b7. περὶ μὲν τȣτων ἅλις	
page-044-R:_c41d3349-48cb-499f-b28d-714557aa5816	both	ἀλίσκεσθαι. ἄστυ ἀλώῃ (Hom Ι 592) Ρα7. 1365a13. Βα-	ἀλίσκεσθαι. ἄστυ ἁλῴη (Hom I 592) Ρα7. 1365a13. Ρα-	ἀλίσκεσθαι. ἄστυ ἀλῴη (Hom I 592) Ρα7. 1365a13. Bα-	
page-044-R:_e42010b8-6e9c-46a0-bb30-c654ea5a2107	both	f 518. 1562b36. ἀλίσκεσθαι ἔρκεσιν Ζιι26. 617b24. —	f 518. 1562b36. ἁλίσκεσθαι ἕρκεσιν Ζιι26. 617b24. —	f 518. 1562b36. ἀλίσκεσθαι ἕρκεσιν Ζιι26. 617b24. —	
page-044-R:_d6cef78a-a6b7-476f-b867-50de3c41eee9	both	b12. οἱ ἀπ' Ἀλκιβιάδȣ Ρβ15. 1390b29. Ἀλκ., exemplum	b12. οἱ ἀπ᾽ Ἀλκιβιάδȣ Ρβ15. 1390b29. Ἀλκ., exemplum	b12. οἱ ἀπ᾽ Ἀλκιβιάδȣ Ρβ15. 1390b29. Ἀλκ., exemplum	
page-045-L:_4e4c4a6d-91d0-468b-a58e-ffd8abe84a82	both	'Αλκιδάμας Ρβ23. 1398b10. 'Α. ἐν τῷ Μεσσηνιακῷ Ρα13.	Ἀλκιδάμας Ρβ23. 1398b10. Ἀ. ἐν τῷ Μεσσηνιακῷ Ρα13.	'Αλκιδάμας Ρβ23. 1398b10. Α. ἐν τῷ Μεσσηνιακῷ Ρα13.	
page-045-L:_3d7600d3-58d6-479b-9711-062acb8ce248	both	'Αλκιμένης ὁ Συβαρίτης θ96. 838a15, 25.	Ἀλκιμένης ὁ Συβαρίτης θ96. 838a15, 25.	Αλκιμένης ὁ Συβαρίτης θ96. 838a15, 25.	
page-045-L:_b376bafd-17e5-4706-9e67-aca6e9d4aa57	both	Ζιι41. 628b6. ζῷα· τὰς ὄψεις ἀγριώτερα ϗ̀ ἀλκιμώτερα	Ζιι41. 628b6. ζῷα τὰς ὄψεις ἀγριώτερα ϗ̀ ἀλκιμώτερα	Ζιι41. 628b6. ζῷα τὰς ὄψεις ἀγριώτερα ϗ̀ ἀλκιμώτερα	
page-045-L:_a2215365-ea85-4094-b47e-386246000aaf	both	'Αλκμαίων πο13. 1453a20. 14. 1453b24. — 'Α. Εὐριπίδȣ	Ἀλκμαίων πο13. 1453a20. 14. 1453b24. —Ἀ. ὐριπίδȣ	'Ἄλκμαίων πο13. 1453a20. 14. 1453b24. — Ἀ. Εὐριπίδȣ	
page-045-L:_493203b9-73fe-4bad-86e1-9c0cba4dc097	both	Ηγ1. 1110a28 (cf fr 70). f 584. 1573a12. 'Α. 'Αστυδά-	Ηγ1. 1110a28 (cf fr 70). f 584. 1573a12. Ἀ. Ἀστυδά-	Ηγ1. 1110a28 (cf fr 70). f 584. 1573a12. Α. 'Ἀστυδά-	
page-045-L:_b3ce8ff7-0119-4fd0-ae7c-dba1e7070188	both	'Αλκμαίων ὁ Κροτωνιάτης ΜΑ5. 986a26. Ζιη1. 581a16.	Αλκμαίων ὁ Κροτωνιάτης ΜΑ5. 986a26. Ζιη1. 581a16.	Αλκμαίων ὁ Κροτωνιάτης ΜΑ5. 986a26. Ζιη1. 581a16.	
page-045-L:_9544079a-329a-4a39-80ae-82dd174234a3	both	'Αλκμὰν ὁ ποιητὴς τίνι νόσῳ διεφθάρη Ζιε31. 557a2.	Ἀλκμὰν ὁ τοιτῆς τίνι νόσιν διεφθρν Ζιε31. 557a2,	Ἅλκμὰν ὁ ποιητὴς τίνι νόσῳ διεφθάρη Ζιε31. 557a2.	
page-045-L:_c9628961-bf73-447d-90a7-9b8c83f949a4	both	ζῇ ἰχθυοφαγȣ͂σα· Ζιε8. 542b4, 12, 16. ι14. 616a14-34.	ζὴ ἰχθυοφαγȣσα Ζιε8. 542b4, 12, 16. ι14. 616a14-34.	ζῇ ἰχθυοφαγȣ͂σα Ζιε8. 542b4, 12, 16. ι14. 616a14-34.	
page-045-L:_ec0f59d6-c83e-47c5-9739-51e1a10975b1	both	cedinis smyrnensis Su 133 n 98, alcedo ispida ΛΖι I 77	cedinis smyrnensis Su 133 n 98, alcedo ispida AΖι I 77	cedinis smyrnensis Su 133 n 98, alcedo ispida ΛZι I 77	
page-045-L:_92b4939c-1be2-4847-bbd8-906f6fedaad9	both	1376a28. κἂν μὴ πρὸς τὰς ἐνδόξȣς, ἀλλὰ πρὸς τὰς ἄλλȣς	1376a28. κἂν μὴ πρὸς τȣ̀ς ἐνδόξȣς, ἀλλὰ πρὸς τȣ̀ς ἄλλȣς	1376a28. κἂν μὴ πρὸς τȣ̀ς ἐνδόξȣς, ἀλλὰ πρὸς τ̀ς ἄλλȣς	
page-045-L:_3b3292cd-6b94-4881-b70b-e118618a671c	both	1323b36. ρ1. 1421a4. ἀλλὰ ... γὰρ Πγ1. 1275b13. —	1323b36. ρ1. 1421a4. ἀλλὰ ·.. . γὰρ Πγ1. 1275b13. —	1323b36. ρ1. 1421a4. ἀλλὰ .. γὰρ Πγ1. 1275b13. —	
page-045-L:_c8b3c2bc-49ad-4a7b-91aa-31963b1b4d06	both	10. 1135a18. πο16. 1455a5 al; interdum ad significationem	1ν11a5a1s e1b.1ι255aituaaaa ad aν6sfuats	C'. 1126212.231θ. 1465'. al; innnrdnmm ndaigniina'dnnιm	
page-045-R:_9b196e56-4a22-4afc-8920-b1167b995324	both	1384a25. φτβ3. 825a15 (Wz ad Κ 6. 5b10). εἰ δ᾽ ἐστὶν	1384a25. φτβ3. 825a15 (Wz ad K 6. 5b10). εἰ δ᾽ ἐστὶν	1384a25. φτβ3. 825a15 (Wz ad Κ 6. 5b10). εἰ δ’ ἐστὶν	
page-045-R:_6ada1a66-3e39-4447-9887-d02cdb130733	both	ὁ χρόνος ȣ̔͂τος τῆς κυήσεως ἢ μή ἐστιν, ȣ̓δέν πω συνȣ͂πται	ὁ χρόνος ȣ̓τος τῆς κυήσεωᾷ ἢ μή ἐστιν, ȣθέν πῳ συνῶπται	θ χρόνος ȣ̓͂τος τῆς κυήσεως ἢ μή ἐστιν, ȣ̓δέν πω συνȣ͂πται	
page-045-R:_68d8742a-2dc1-4cb8-a626-4c6fff5cff12	both	δ᾽ ȣ̓δὲ τῷδε (sc αἱρεταί εἰσιν) ἀλλὰ ποτὲ ϗ̀ ὀλίγον χρόνον	δ' ȣ̓δὲ τῷδε (sc αἱρεταί εἰσιν) ἀλλὰ ποτὲ ϗ̀ ὀλίγον χρόνον	δ’ ȣ̓δὲ τῷδε (sc αἱρεταί εἰσιν) ἀλλὰ ποτὲ ϗ̀ ὀλίγον χρόνον	
page-045-R:_9d493f0f-6d92-4713-a7bd-b0be9a7b8633	both	ἐν ȣ̓δεμιᾷ τέχνη ἀλλ᾽ ἐν ῥητορικῇ ϗ̀ ἐριστικῇ Ρβ24. 1402	ἐν ȣ̓δεμιᾷ τέχνῃ ἀλλ’ ἐν ῥητορικῇ ϗ̀ ἐριστικῇ Ρβ24. 1402	ἐν ȣ̓δεμιᾷ τέχνῃ ἀλλ᾽ ἐν ῥητορικῇ ϗ̀ ἐριστικῇ Ρβ24. 1402	
page-045-R:_cf80a309-61f9-4d3a-bd4d-39ea1a48f2bc	both	nalisτζ13. 150a9. ημβ8. 1207b14. ἀλλ᾽ ȣ̓͂ν γε κ6. 397b12.	nalis τζ13. 150a9. ημβ8. 1207b14. ἀλλ᾽ ȣ̓ν γε κ6. 397b12.	nalis τζ13. 150a9. ημβ8. 1207b14. ἀλλ᾽ ȣ̓͂ν γε κ6. 397b12.	
page-045-R:_78fea5c8-4ef2-4509-9b14-4178630eab18	both	b23, a35. ἀλλαγή τινος, dist χρεία Πα9. 1257a13, 25. ποι-	b23, a35. ἀλλαγή τινος, dist χρεία Πα9. 1257a13, 25. πο	b23,a35. ἀλλαγή τινος, dist χρεία Πα9. 1257a13, 25. ποι.	
page-045-R:_233a2a4b-59c6-46b9-b7df-0d5f0f01736c	both	μένῳ ὑποδήματος ἀντὶ νομίσματος Πα9. 1257a10. — ἀλ-	μένων ὕαοοηματος ἕντῖ νομσματος Πα9. 1257a19. — ἀλ	μένιῳ ̓ποδήματος ἀντὶ νομίσματος Πα9. 1257a10. — ἀλ-	
page-045-R:_e45f9216-8411-403f-93dc-569a4dbf615c	both	λονται πλεῖον ἔχοντες τȣ̀ς ἁλτῆρας ἢ μὴ ἔχοντες Ζπ3. 705	λονται πλεῖον ἔχοντες τȣ̀ς ἀλτῆρας ἢ μὴ ἔχοντες Ζπ3. 705	λονται πλεῖον ἔχοντες τȣ̀ς ἀλτῆρας ἢ μὴ ἔχοντες Ζπ3. 705	
page-045-R:_8783ffaa-5759-4de0-b969-bf8b04b3ede3	both	ἄλλεται ὁ δεξιός Ζιθ24. 604a27.	έἰστα ὁ ὀεεος Ζιε4.64 7	Λλ.aῖαι ̓ ̓ι8ός ΖΓθ24.. 904a27.	
page-046-L:_00077d3c-105d-489e-8f18-3abdd382bea7	both	ἀλλοῖα σπȣδάσαι f 170. 1506b2. ἐστὶ τινὰ αὐξανόμενα ἃ	ἀλλοῖα σπȣδάσαι f 170. 1506b2. ἐστὶ τίνὰ αξαἴόμενα δ	ἀλλοῖα σπȣδάσαι f 170. 1506b2. ἐστὶ τινὰ αὐξαόμενα ἃ	
page-046-L:_0ab7be29-3bb2-48d7-8e8a-dcf7bc9fb9a8	both	ἀλλοιȣ͂ν. τὸ ἀλλοιȣ́μενον ἅπαν ἀλλοιȣ͂ται ὑπὸ τῶν αἰσθητῶν	ἀ))οιȣν τὸ αλλομενον ἅπαν ἀλλοιȣ͂ται ὑπὸ τῶν αἰσθητῶν	ἀλλοιȣ͂ν. τὸ ἀλλοιȣ́μενον ᾅπαν ἀλλοιȣ͂ται ὑπὸ τ̀ν αἰσθητῷν	
page-046-L:_12016472-7c85-4d82-962b-4121f9810c2d	both	σθητȣ͂ ὄντος, μεταβάλλῃ ἐν τοῖς αὐτȣ͂ πάθεσιν, ἢ ἐναντίοις	σθητȣ͂ ὄντος, μεταβάλλη ἐν τοῖς αὐτȣ͂ πάθεσιν, ἢ ἐναντίοις	σθητȣ͂ ὄντος, μεταβάλλῃ ἐν τοῖς αὑτȣ͂ πάθεσιν, ἢ ἐναντίοις	
page-046-R:_107c1700-ffca-44f0-b7fc-6853c16f95a7	both	ἀναιρεῖσθαι ἀνάγκη τοῖς ȣ̔́τω (Emped) λέγȣσιν ΜΑ8. 989	ἀναιρεῖσθαι ἀνάγκῃ τοῖς ὕ̔τω (Emped) λέγȣσιν ΜΑ8. 989	ἀναιρεῖσθαι ἀνάγκῃ τοῖς ȣ̔́τω (Emped) λέγȣσιν ΜΑ8. 989	
page-046-R:_151f8d7d-a786-4e42-a263-4f401eb5ed07	both	men᾽ ἐὰν ἡμίπυρον ᾖ, σφοδρὸν δὲ ἄλλως ϗ̀ ἀθρόον κ4.	men ἐν ἠίπρον ἢ, σφοδρὸν δὲ ἄλλωνς ϗ̀ ἀθρόον κ4.	msn' ἐὰν ἡμίπυρον ᾖ σφοδρὸν δὲ ἄλλως ϗ̀ ἀθρόον κ4.	
page-047-R:_7bc33ec4-ec41-47b0-8ff1-8149439e7650	both	ὅμοιον Οβ6. 289a6. τȣ͂το δ᾽ ἄλογον, συμβαίνει ἄλογον sim	ὅμοιον Οβ6. 289a6. τȣτο δ᾽ ἄλογον, συμβαίνει ἄλογον sim	ὅμοιον Οβ6. 289a6. τȣτο δ᾽ ἄλογον, συμβαίνει ἄλογον sim	
page-047-R:_e0461434-cdd1-48fd-8431-fc41cc094745	both	Ἀλόπη Καρκίνȣ Ηη8. 1150b10 (Nck fr tr p 619).	Αλόπη Καρκίνȣ Ηη8. 1150b10 (Nck fr tr p 619).	Ἄλόπη Καρκίνȣ Ηη8. 1150b10 (Nck fr tr p 619).	
page-047-R:_ccb82e16-e4a3-403d-8a38-2d23be9e63b9	both	a1. ἅλες μᾶλλον λίτρȣ ὀσμώδεις αι5. 443a13. ἅλες.χον-	a1. ἅλες μᾶλλον λίτρȣ ὀσμώδεις αι5. 443a13. ἅλες χον-	a1. ἅλες μᾶλλον λίτρȣ ὀσμώδεις αι5. 443a13. ἅλες χον-	
page-047-R:_335676ca-036b-4405-b199-ede2f7dad31c	both	λείχειν ἅλα Ζιζ27. 580b31. παρέχειν ἅλας f588. 1574a1.	λείχειν ἅλα Ζιζ27. 580b31. παρέχειν ἅλας f 588. 1574a1.	λείχειν ἅλα Ζιζ27. 580b31. παρέχειν ἅλας f 588. 1574a1.	
page-047-R:_001dae43-0b18-4d67-9d5e-b7812f09cefb	both	— sing ἅλς, ἁλός εν3. 461b16. Ζιζ27. 580b31 (v l ἅλ-	— sing ἅλς, ἁλός εν3. 461b16. Ζιζ27. 580b31 (v l ἄλ-	— sing ἅλς, ἀλός εν3. 461b16. Ζιζ27. 580b31 (v l ἄλ-	
page-047-R:_65c7215e-75e6-40b0-a110-13476ad6d336	both	λας). θ10. 596a21. πια26. 902a1. 42. 904a5, reliquis	λας). θ10. 596a21. ια56. 998a1. 42.904a5, rsliq	λα3). 110. 996a21.. πια26. 90211.. 42.. 204a5, reliquis	
page-048-L:_c33f41f9-9631-4a46-8c7b-39fd3a920537	both	a9. 19. 873b37. τὰ ἁλυκὰ τῶν γλυκέων ἧττον ψυχρὰ πκγ	a9. 19. 873b37. τὰ ἁλυκὰ τῶν γλυκέων ἧττον ψυχράπκγ	a9. 19. 873b37. τὰ ἁλυκὰ τῶν γλυκέων ἧττον ψυχρά πκγ	
page-048-L:_9f034641-b07e-45cc-9b2e-13aa26648aaa	both	ἁλυκότης f209. 1516a15. φτβ2. 823b17. 3. 824b5.	ἀλυκότης f 209. 1516a15. φτβ2. 823b17. 3. 824b5.	ἁλυκότης f 209. 1516a15. φτβ2. 823b17. 3. 824b5.	
